Messkomponente;Feinstaub (PM10);Feinstaub (PM2,5);Stickstoffdioxid;Stickstoffmonoxid;Stickoxide;Ozon;Benzol;Toluol;Kohlenmonoxid;Schwefeldioxid

Jan 2010;64;;44;38;101;;3.9;4.1;0.7;10
Feb 2010;46;;46;30;91;;2.8;3.5;0.6;7
Mär 2010;39;;47;32;95;;1.7;3.5;0.5;3
Apr 2010;34;;42;24;78;;1.7;3.7;0.5;3
Mai 2010;25;;33;19;61;;1.3;3.5;0.4;1
Jun 2010;26;;33;15;57;;1.1;3.7;0.3;2
Jul 2010;30;;40;16;65;;1.2;3.8;0.3;2
Aug 2010;25;;41;23;76;;1.5;4.5;0.3;1
Sep 2010;25;;44;32;93;;1.7;4.1;0.5;2
Okt 2010;36;;53;53;134;;;5.1;0.6;4
Nov 2010;24;;39;33;89;;2.0;3.5;0.5;3
Dez 2010;37;;47;41;109;;2.4;3.1;0.6;6
Jan 2011;28;;49;39;108;;3.0;5.2;0.6;3
Feb 2011;48;;42;28;86;;3.2;4.0;0.6;7
Mär 2011;42;;50;30;97;;2.7;5.4;0.6;4
Apr 2011;30;;41;20;72;;1.5;4.8;0.4;2
Mai 2011;26;;45;20;76;;1.3;4.5;0.4;3
Jun 2011;19;;34;16;58;;0.8;2.7;0.3;1
Jul 2011;16;;33;18;60;;0.9;3.0;0.3;1
Aug 2011;22;;41;22;75;;1.3;3.8;0.4;1
Sep 2011;27;;50;42;114;;1.9;6.3;0.5;2
Okt 2011;30;;48;45;116;;2.4;6.6;0.6;2
Nov 2011;54;;52;47;124;;3.4;5.7;0.7;5
Dez 2011;16;;36;25;74;;1.6;3.5;0.5;3
Jan 2012;26;;41;31;89;;2.0;3.7;0.5;4
Feb 2012;31;;43;28;85;;2.1;4.6;0.5;4
Mär 2012;35;;44;32;92;;1.5;4.3;0.5;3
Apr 2012;26;;43;23;77;;1.3;4.1;0.4;3
Mai 2012;24;;36;17;63;;1.0;3.5;0.3;3
Jun 2012;21;;40;20;71;;1.1;4.3;0.4;2
Jul 2012;22;;37;18;65;;1.0;5.1;0.3;2
Aug 2012;26;;42;21;75;;1.5;5.5;0.4;2
Sep 2012;24;;48;32;96;;1.6;6.5;0.5;2
Okt 2012;27;;47;47;118;;2.1;6.8;0.5;3
Nov 2012;31;;44;48;118;;2.5;7.4;0.6;3
Dez 2012;33;;45;45;114;;2.9;6.3;0.6;4
Jan 2013;34;;38;30;84;;2.2;4.3;0.5;4
Feb 2013;36;;38;24;74;;1.9;2.7;0.5;3
Mär 2013;36;;41;22;76;;1.7;2.5;0.5;4
Apr 2013;36;;43;23;78;;1.4;3.4;0.4;3
Mai 2013;26;;38;18;66;;1.1;3.6;0.4;2
Jun 2013;21;;30;14;50;;0.6;2.4;0.3;1
Jul 2013;23;;35;16;59;;0.6;2.4;0.3;2
Aug 2013;26;;45;23;81;;0.8;2.7;0.4;2
Sep 2013;21;;44;38;102;;1.9;6.0;0.4;2
Okt 2013;28;;46;43;112;;3.5;9.8;0.5;2
Nov 2013;23;;44;39;103;;2.6;5.7;0.4;2
Dez 2013;24;;43;42;108;;2.6;5.1;0.5;3
Jan 2014;43;;42;36;97;;2.8;4.4;0.6;5
Feb 2014;36;;49;36;104;;2.4;5.2;0.5;4
Mär 2014;45;;50;36;105;;2.3;5.4;0.5;3
Apr 2014;28;;38;20;68;;1.3;3.4;0.4;3
Mai 2014;20;;37;19;66;;1.0;2.8;0.3;2
Jun 2014;21;;37;21;69;;1.0;2.7;0.3;2
Jul 2014;28;;38;16;62;;1.1;3.6;0.3;2
Aug 2014;23;;45;26;85;;1.6;5.1;0.4;2
Sep 2014;33;;44;32;93;;1.8;4.8;0.4;3
Okt 2014;35;;44;48;118;;2.0;4.7;0.5;3
Nov 2014;42;;38;46;108;;2.2;3.8;0.6;3
Dez 2014;30;;39;35;92;;1.7;2.7;0.5;3
Jan 2015;31;;38;29;83;;1.5;2.3;0.4;3
Feb 2015;39;;46;36;101;;1.9;2.9;0.5;3
Mär 2015;34;;45;30;91;;1.5;3.0;0.4;2
Apr 2015;24;;39;23;75;;1.1;2.8;0.4;2
Mai 2015;24;;39;20;69;;1.0;3.1;0.3;2
Jun 2015;21;;38;20;68;;0.8;3.1;0.3;2
Jul 2015;24;;40;20;70;;1.0;3.8;0.3;2
Aug 2015;31;;38;15;61;;1.1;3.4;0.3;2
Sep 2015;21;;40;25;78;;1.1;3.4;0.3;2
Okt 2015;42;;46;46;116;;2.2;4.6;0.5;3
Nov 2015;29;;46;57;133;;2.1;5.4;0.5;2
Dez 2015;26;;39;35;92;;1.5;3.1;0.4;2
Jan 2016;45;;42;40;103;;2.5;3.3;0.5;3
Feb 2016;28;;40;30;86;;1.6;2.7;0.4;2
Mär 2016;31;;42;31;90;;1.5;2.9;0.4;2
Apr 2016;26;;44;28;87;;1.3;3.2;0.4;2
Mai 2016;26;;39;17;65;;0.9;2.9;0.3;2
Jun 2016;23;;38;18;66;;0.9;3.4;0.3;2
Jul 2016;20;;35;17;61;;0.9;3.3;0.3;2
Aug 2016;20;;39;23;74;;1.0;3.5;0.3;2
Sep 2016;32;;48;23;83;;1.2;3.6;0.4;2
Okt 2016;27;;34;36;89;;1.2;2.9;0.4;2
Nov 2016;27;;44;51;122;;2.0;3.3;0.5;2
Dez 2016;28;;47;49;122;;1.5;2.4;0.5;2
Jan 2017;38;28;48;42;112;;1.8;2.2;0.5;3
Feb 2017;50;36;45;40;106;;2.4;2.5;0.6;3
Mär 2017;30;17;48;32;98;;1.1;2.3;0.4;2
Apr 2017;23;15;38;21;70;;0.8;1.7;0.3;2
Mai 2017;25;15;37;18;65;;0.7;2.2;0.3;2
Jun 2017;21;11;40;23;75;;0.7;2.6;0.3;2
Jul 2017;22;12;36;20;68;;0.7;2.8;0.3;1
Aug 2017;23;12;42;23;76;;0.9;3.4;0.3;2
Sep 2017;26;16;39;28;82;;0.9;3.0;0.4;2
Okt 2017;27;16;41;37;97;;1.1;3.2;0.4;1
Nov 2017;26;18;42;36;96;;1.1;2.2;0.4;1
Dez 2017;22;15;40;35;93;;1.1;2.0;0.4;2
Jan 2018;25;19;39;32;87;;1.5;2.1;0.4;1
Feb 2018;37;25;40;28;83;;1.6;1.9;0.4;2
Mär 2018;36;26;42;27;83;;1.7;2.1;0.4;2
Apr 2018;30;19;41;19;70;;1.0;2.4;0.4;2
Mai 2018;26;13;29;10;43;;0.6;1.6;0.3;1
Jun 2018;22;13;33;14;55;;0.6;2.1;0.3;1
Jul 2018;20;10;28;10;44;;0.5;1.8;0.2;1
Aug 2018;23;10;38;17;64;;0.8;2.7;0.3;1
Sep 2018;26;12;41;21;72;;0.9;2.9;0.4;0
Okt 2018;31;18;46;34;99;;1.2;3.1;0.4;1
Nov 2018;35;26;39;42;103;;1.8;2.8;0.5;1
Dez 2018;21;16;34;30;80;;1.3;2.1;0.4;1
Jan 2019;26;19;37;28;79;28;1.4;1.9;0.4;1
Feb 2019;35;24;50;47;122;21;1.8;3.3;0.5;2
Mär 2019;20;13;35;21;66;44;0.9;1.8;0.3;1
Apr 2019;29;17;27;10;42;72;0.8;1.5;0.3;2
Mai 2019;19;11;29;14;50;59;0.7;1.9;0.3;1
Jun 2019;23;11;33;11;51;76;0.7;2.5;0.3;1
Jul 2019;19;10;28;13;48;56;0.5;2.0;0.3;1
Aug 2019;21;11;39;17;66;55;0.9;3.1;0.3;1
Sep 2019;21;11;36;23;71;37;0.9;2.8;0.3;1
Okt 2019;22;14;37;32;86;22;1.1;2.9;0.4;1
Nov 2019;29;21;34;35;88;10;1.6;2.8;0.4;2
Dez 2019;25;16;38;32;87;20;1.3;2.3;0.4;2
Jan 2020;26;17;37;28;80;24;1.1;1.9;0.4;2
Feb 2020;16;10;32;22;65;40;0.8;1.4;0.3;1
Mär 2020;23;15;32;18;59;47;0.9;1.5;0.3;1
Apr 2020;25;12;28;11;44;65;0.7;1.6;0.3;1
Mai 2020;16;9;23;9;37;62;0.5;1.3;0.3;1
Jun 2020;19;10;19;7;29;66;0.5;1.3;0.2;
Jul 2020;18;9;24;12;42;50;0.6;2.0;0.2;
Aug 2020;26;11;26;8;38;63;0.9;2.2;0.3;
Sep 2020;25;12;35;16;59;39;1.1;3.0;0.3;
Okt 2020;20;12;28;19;57;25;1.0;2.3;0.3;
Nov 2020;24;17;30;23;64;18;1.3;2.2;0.4;
Dez 2020;30;23;27;25;65;14;1.5;1.9;0.4;
Jan 2021;21;16;27;15;50;25;1.1;1.4;0.3;
Feb 2021;34;21;36;25;75;30;1.4;2.1;0.4;
Mär 2021;29;18;35;25;73;41;1.1;2.0;0.4;
Apr 2021;20;12;23;9;37;61;0.6;1.1;0.3;
Mai 2021;15;9;22;9;35;59;0.5;1.3;0.3;
Jun 2021;23;12;24;7;35;73;0.5;1.6;0.2;
Jul 2021;21;11;23;9;36;56;0.5;1.8;0.3;
Aug 2021;16;9;23;10;38;50;0.6;1.8;0.3;
Sep 2021;24;15;29;13;49;38;1.0;2.9;0.3;
Okt 2021;24;15;31;17;58;30;1.1;2.7;0.4;
Nov 2021;24;18;30;24;66;21;1.1;2.2;0.4;
Dez 2021;25;20;30;23;65;20;1.3;2.0;0.4;
Jan 2022;20;15;27;13;46;35;1.0;1.2;0.3;
Feb 2022;15;10;24;9;38;48;0.9;1.0;0.3;
Mär 2022;33;21;32;14;54;53;1.2;1.4;0.4;
Apr 2022;18;11;19;6;29;66;0.6;1.1;0.2;
Mai 2022;20;10;22;8;33;67;0.5;1.6;0.2;
Jun 2022;19;10;21;7;31;72;0.4;1.8;0.2;
Jul 2022;17;8;19;6;29;64;0.4;1.6;0.2;
Aug 2022;23;11;19;5;27;66;0.4;1.5;0.2;
Sep 2022;17;10;25;13;45;39;0.7;1.8;0.3;
Okt 2022;24;14;31;24;68;20;1.1;3.1;0.4;
Nov 2022;28;20;29;26;69;14;1.4;2.4;0.4;
