,datetime,station,core,component,period,value,grade
3,2022-12-15T17:00:00+01:00,mc010,,o3,1h,1.0,1.0
8,2022-12-15T17:00:00+01:00,mc014,,o3,1h,,
13,2022-12-15T17:00:00+01:00,mc018,,o3,1h,,
18,2022-12-15T17:00:00+01:00,mc027,,o3,1h,1.0,1.0
23,2022-12-15T17:00:00+01:00,mc032,,o3,1h,1.0,1.0
28,2022-12-15T17:00:00+01:00,mc042,,o3,1h,1.0,1.0
33,2022-12-15T17:00:00+01:00,mc077,,o3,1h,1.0,1.0
38,2022-12-15T17:00:00+01:00,mc085,,o3,1h,1.0,1.0
43,2022-12-15T17:00:00+01:00,mc115,,o3,1h,,
48,2022-12-15T17:00:00+01:00,mc117,,o3,1h,,
53,2022-12-15T17:00:00+01:00,mc124,,o3,1h,,
58,2022-12-15T17:00:00+01:00,mc143,,o3,1h,,
63,2022-12-15T17:00:00+01:00,mc145,,o3,1h,1.0,1.0
68,2022-12-15T17:00:00+01:00,mc171,,o3,1h,,
73,2022-12-15T17:00:00+01:00,mc174,,o3,1h,1.0,1.0
78,2022-12-15T17:00:00+01:00,mc190,,o3,1h,,
83,2022-12-15T17:00:00+01:00,MC221,,o3,1h,,
88,2022-12-15T17:00:00+01:00,mc282,,o3,1h,,
