,Station,010 Wedding,018 Schoneberg,027 Marienfelde,032 Grunewald,042 Neuklln,077 Buch (Pankow),085 Friedrichshagen (Treptow-Kpenick),088 Messwagen Leipziger Str.,115 Hardenbergplatz (Charlottenburg),117 Schildhornstrasse (Steglitz),124 Mariendorfer Damm,143 Silbersteinstrasse (Neuklln),171 Mitte,174 Frankfurter Allee (Friedrichshain),190 Leipziger Strasse (Mitte),220 Karl-Marx-Strasse (Neukolln)
4,2010,25,26,25,22,28,22,25,,30,33,38,33,28,34,,31
5,2011,26,,,21,25,21,21,,28,28,33,32,25,30,,30
6,2012,23,,,18,22,19,18,,25,24,29,28,22,27,,28
7,2013,24,,,18,23,20,19,,24,27,29,27,23,28,,27
8,2014,25,,,21,27,24,22,,,30,31,30,25,32,,31
9,2015,22,,,17,22,20,20,,,22,29,26,23,29,,26
10,2016,21,,,17,23,20,18,,,25,26,26,22,28,,29
11,2017,20,,,17,22,18,16,,,23,26,28,22,28,,28
12,2018,21,,,17,24,19,19,25,,25,25,29,23,28,,29
13,2019,18,,,16,19,17,16,21,,21,22,22,19,24,,22
14,2020,16,,,14,18,15,14,18,,18,21,21,17,22,,20
15,2021,16,,,15,17,17,15,,,21,22,28,19,23,22,
