,Messkomponente,Feinstaub (PM10),"Feinstaub (PM2,5)",Stickstoffdioxid,Stickstoffmonoxid,Stickoxide,Benzol,Toluol,Kohlenmonoxid,code
0,Jan 2010,63.0,,55,43,120,3.5,5.2,0.8,mc117
1,Feb 2010,45.0,,61,40,122,2.8,5.1,0.7,mc117
2,Mär 2010,35.0,,57,34,110,1.9,5.3,0.6,mc117
3,Apr 2010,30.0,,52,24,88,1.7,5.1,0.5,mc117
4,Mai 2010,24.0,,46,23,81,1.4,4.3,0.4,mc117
5,Jun 2010,24.0,,48,20,79,1.2,5.5,0.4,mc117
6,Jul 2010,28.0,,56,20,86,1.3,6.5,0.4,mc117
7,Aug 2010,23.0,,50,28,93,1.5,6.8,0.4,mc117
8,Sep 2010,24.0,,54,39,114,1.9,8.3,0.5,mc117
9,Okt 2010,34.0,,57,50,133,2.4,7.4,0.6,mc117
10,Nov 2010,25.0,,50,41,113,2.0,4.9,0.5,mc117
11,Dez 2010,37.0,,56,47,125,2.4,4.1,0.6,mc117
12,Jan 2011,27.0,,59,47,131,2.2,5.1,0.6,mc117
13,Feb 2011,50.0,,54,32,103,2.5,4.4,0.6,mc117
14,Mär 2011,39.0,,65,41,124,2.3,6.3,0.6,mc117
15,Apr 2011,29.0,,51,24,88,1.5,5.6,0.4,mc117
16,Mai 2011,24.0,,62,28,104,1.6,6.7,0.5,mc117
17,Jun 2011,18.0,,45,23,80,1.2,4.9,0.4,mc117
18,Jul 2011,16.0,,43,26,83,1.2,4.8,0.3,mc117
19,Aug 2011,22.0,,53,34,105,1.8,6.5,0.4,mc117
20,Sep 2011,24.0,,62,54,144,1.8,7.5,0.5,mc117
21,Okt 2011,27.0,,53,55,136,2.4,9.0,0.5,mc117
22,Nov 2011,52.0,,58,67,161,2.9,7.7,0.8,mc117
23,Dez 2011,15.0,,44,40,105,1.7,4.5,0.5,mc117
24,Jan 2012,31.0,,45,41,107,2.1,4.3,0.5,mc117
25,Feb 2012,29.0,,50,38,108,2.3,6.1,0.5,mc117
26,Mär 2012,28.0,,53,39,113,1.9,8.7,0.5,mc117
27,Apr 2012,23.0,,52,30,98,1.8,8.1,0.4,mc117
28,Mai 2012,23.0,,49,24,86,1.4,6.5,0.4,mc117
29,Jun 2012,20.0,,51,29,96,1.4,7.0,0.4,mc117
30,Jul 2012,20.0,,46,25,84,1.1,7.9,0.4,mc117
31,Aug 2012,22.0,,57,31,103,1.2,6.3,0.4,mc117
32,Sep 2012,17.0,,59,42,122,1.5,7.1,0.5,mc117
33,Okt 2012,21.0,,58,57,146,2.2,6.9,0.6,mc117
34,Nov 2012,26.0,,55,64,152,2.8,9.4,0.6,mc117
35,Dez 2012,30.0,,53,58,142,3.1,8.6,0.6,mc117
36,Jan 2013,32.0,,46,39,106,2.5,6.2,0.5,mc117
37,Feb 2013,37.0,,48,33,99,2.0,3.2,0.5,mc117
38,Mär 2013,35.0,,51,28,93,1.8,3.1,0.5,mc117
39,Apr 2013,,,52,28,94,1.5,3.8,0.4,mc117
40,Mai 2013,25.0,,50,26,90,1.3,2.7,0.4,mc117
41,Jun 2013,23.0,,43,21,75,1.1,2.9,0.3,mc117
42,Jul 2013,24.0,,47,21,79,1.0,3.2,0.3,mc117
43,Aug 2013,26.0,,55,28,98,1.2,3.7,0.4,mc117
44,Sep 2013,19.0,,50,42,115,1.5,3.7,0.4,mc117
45,Okt 2013,26.0,,55,50,132,,4.5,0.5,mc117
46,Nov 2013,22.0,,53,53,133,1.3,3.2,0.5,mc117
47,Dez 2013,23.0,,51,57,138,1.4,2.9,0.6,mc117
48,Jan 2014,43.0,,49,43,115,2.4,3.1,0.6,mc117
49,Feb 2014,33.0,,58,52,137,2.4,4.2,0.6,mc117
50,Mär 2014,40.0,,54,40,116,2.4,4.2,0.6,mc117
51,Apr 2014,29.0,,46,25,84,1.5,3.2,0.5,mc117
52,Mai 2014,21.0,,48,26,88,1.4,3.6,0.4,mc117
53,Jun 2014,21.0,,49,28,93,1.4,4.0,0.4,mc117
54,Jul 2014,27.0,,49,21,80,1.4,4.2,0.4,mc117
55,Aug 2014,21.0,,50,30,96,1.8,5.4,0.4,mc117
56,Sep 2014,30.0,,48,30,94,1.6,4.3,0.5,mc117
57,Okt 2014,32.0,,52,56,137,1.6,4.6,0.6,mc117
58,Nov 2014,39.0,,44,53,125,2.1,4.1,0.6,mc117
59,Dez 2014,27.0,,42,42,107,1.5,2.7,0.5,mc117
60,Jan 2015,21.0,,44,42,108,1.6,3.0,0.5,mc117
61,Feb 2015,32.0,,55,51,133,2.0,3.6,0.6,mc117
62,Mär 2015,29.0,,48,34,101,1.5,3.4,0.5,mc117
63,Apr 2015,18.0,,44,28,87,1.2,3.1,0.4,mc117
64,Mai 2015,18.0,,50,29,94,1.3,4.0,0.3,mc117
65,Jun 2015,16.0,,45,24,81,,4.1,0.2,mc117
66,Jul 2015,15.0,,46,22,80,0.9,3.1,0.2,mc117
67,Aug 2015,24.0,,53,22,87,1.0,3.4,0.2,mc117
68,Sep 2015,15.0,,51,38,108,1.2,3.2,0.2,mc117
69,Okt 2015,37.0,,50,48,123,2.1,3.1,0.5,mc117
70,Nov 2015,20.0,,45,56,130,1.9,3.6,0.5,mc117
71,Dez 2015,19.0,,42,42,106,1.5,3.3,0.5,mc117
72,Jan 2016,38.0,,45,45,114,2.2,3.4,0.6,mc117
73,Feb 2016,23.0,,42,34,93,1.5,2.9,0.4,mc117
74,Mär 2016,28.0,,48,36,102,1.6,3.0,0.5,mc117
75,Apr 2016,23.0,,49,30,95,1.1,3.3,0.4,mc117
76,Mai 2016,24.0,,43,19,72,0.9,3.4,0.4,mc117
77,Jun 2016,22.0,,47,24,84,1.0,4.4,0.4,mc117
78,Jul 2016,19.0,,41,21,73,0.8,3.6,0.4,mc117
79,Aug 2016,18.0,,41,26,80,1.0,4.3,0.3,mc117
80,Sep 2016,28.0,,58,30,104,1.2,4.8,0.4,mc117
81,Okt 2016,24.0,,39,41,102,1.4,3.0,0.4,mc117
82,Nov 2016,26.0,,53,64,150,2.0,3.6,0.5,mc117
83,Dez 2016,24.0,,49,54,131,1.9,2.9,0.5,mc117
84,Jan 2017,31.0,25.0,55,55,139,2.3,3.1,0.5,mc117
85,Feb 2017,42.0,33.0,52,42,116,2.9,3.1,0.6,mc117
86,Mär 2017,22.0,15.0,54,39,114,1.7,3.2,0.4,mc117
87,Apr 2017,19.0,13.0,41,24,77,1.3,2.5,0.3,mc117
88,Mai 2017,22.0,13.0,49,24,86,1.3,3.5,0.4,mc117
89,Jun 2017,18.0,10.0,43,23,79,1.1,3.5,0.3,mc117
90,Jul 2017,19.0,12.0,42,24,78,1.0,3.3,0.3,mc117
91,Aug 2017,20.0,13.0,44,25,83,1.1,3.8,0.3,mc117
92,Sep 2017,23.0,14.0,43,33,94,1.3,3.6,0.4,mc117
93,Okt 2017,22.0,14.0,38,36,93,1.1,2.7,0.4,mc117
94,Nov 2017,23.0,16.0,43,46,113,1.3,3.0,0.4,mc117
95,Dez 2017,18.0,13.0,39,40,99,1.1,2.2,0.4,mc117
96,Jan 2018,23.0,17.0,42,41,104,1.6,2.5,0.4,mc117
97,Feb 2018,32.0,23.0,50,37,107,1.8,2.5,0.4,mc117
98,Mär 2018,34.0,24.0,47,29,91,1.4,2.4,0.4,mc117
99,Apr 2018,28.0,18.0,46,24,83,0.8,2.5,0.4,mc117
100,Mai 2018,28.0,13.0,38,14,58,0.5,1.6,0.3,mc117
101,Jun 2018,22.0,12.0,38,17,64,0.7,2.2,0.3,mc117
102,Jul 2018,20.0,10.0,39,17,64,0.8,3.0,0.3,mc117
103,Aug 2018,21.0,10.0,44,21,76,1.1,3.9,0.3,mc117
104,Sep 2018,23.0,10.0,46,26,85,1.1,3.6,0.4,mc117
105,Okt 2018,25.0,16.0,51,42,116,1.6,4.5,0.4,mc117
106,Nov 2018,30.0,25.0,46,51,124,2.3,4.5,0.5,mc117
107,Dez 2018,17.0,14.0,35,36,91,1.5,2.8,0.4,mc117
108,Jan 2019,20.0,17.0,38,33,89,1.2,2.0,0.4,mc117
109,Feb 2019,28.0,21.0,50,43,116,1.2,2.7,0.5,mc117
110,Mär 2019,17.0,12.0,35,24,72,0.6,1.3,0.3,mc117
111,Apr 2019,31.0,17.0,37,15,60,,,0.3,mc117
112,Mai 2019,17.0,10.0,35,17,61,,,0.3,mc117
113,Jun 2019,22.0,11.0,42,16,65,,,0.3,mc117
114,Jul 2019,20.0,10.0,30,15,53,,,0.3,mc117
115,Aug 2019,19.0,11.0,44,20,75,,,0.3,mc117
116,Sep 2019,16.0,9.0,37,24,73,,,0.3,mc117
117,Okt 2019,18.0,12.0,38,35,91,,,0.4,mc117
118,Nov 2019,24.0,19.0,37,39,96,,,0.4,mc117
119,Dez 2019,18.0,13.0,40,39,100,,,0.4,mc117
120,Jan 2020,19.0,14.0,39,33,90,,,0.4,mc117
121,Feb 2020,12.0,9.0,30,21,62,,,0.3,mc117
122,Mär 2020,20.0,14.0,33,18,60,,,0.3,mc117
123,Apr 2020,21.0,11.0,29,11,46,,,0.3,mc117
124,Mai 2020,14.0,8.0,26,12,44,,,0.3,mc117
125,Jun 2020,17.0,10.0,26,11,43,,,0.2,mc117
126,Jul 2020,14.0,8.0,26,16,50,,,0.2,mc117
127,Aug 2020,21.0,11.0,37,14,59,,,0.3,mc117
128,Sep 2020,18.0,10.0,42,23,78,,,0.4,mc117
129,Okt 2020,15.0,11.0,30,25,68,,,0.4,mc117
130,Nov 2020,20.0,15.0,32,28,74,,,0.4,mc117
131,Dez 2020,25.0,21.0,32,32,81,,,0.4,mc117
132,Jan 2021,17.0,14.0,29,20,59,,,0.3,mc117
133,Feb 2021,30.0,20.0,40,26,80,,,0.4,mc117
134,Mär 2021,23.0,15.0,36,25,74,,,0.3,mc117
135,Apr 2021,17.0,11.0,24,10,39,,,0.3,mc117
136,Mai 2021,14.0,8.0,25,12,43,,,0.3,mc117
137,Jun 2021,22.0,12.0,30,11,47,,,0.2,mc117
138,Jul 2021,20.0,12.0,26,11,43,,,0.2,mc117
139,Aug 2021,17.0,11.0,24,12,43,,,0.3,mc117
140,Sep 2021,20.0,13.0,32,18,61,,,0.4,mc117
141,Okt 2021,21.0,14.0,33,23,67,,,0.4,mc117
142,Nov 2021,22.0,17.0,29,27,71,,,0.4,mc117
143,Dez 2021,24.0,19.0,32,28,75,,,0.4,mc117
144,Jan 2022,19.0,14.0,26,18,54,,,0.3,mc117
145,Feb 2022,14.0,10.0,24,15,46,,,0.3,mc117
146,Mär 2022,30.0,20.0,39,19,68,,,0.4,mc117
147,Apr 2022,17.0,10.0,25,10,40,,,0.3,mc117
148,Mai 2022,19.0,10.0,26,12,44,,,0.3,mc117
149,Jun 2022,17.0,10.0,26,10,42,,,0.2,mc117
150,Jul 2022,17.0,8.0,23,10,37,,,0.2,mc117
151,Aug 2022,22.0,11.0,29,10,45,,,0.2,mc117
152,Sep 2022,14.0,9.0,27,17,53,,,0.3,mc117
153,Okt 2022,19.0,12.0,29,22,63,,,0.3,mc117
154,Nov 2022,24.0,18.0,29,28,71,,,0.4,mc117
